filename,mood,confidence,valence,arousal,energy,tempo,avg_rms,avg_dbfs,avg_centroid,dynamic_level,intensity,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
16 - Epic Cinematic Background Music NO COPYRIGHT ｜ FREE Epic Background Music For Videos • EMW.mp3,Neutral / Mixed,0.62,0.5944993181634416,0.6016673721546351,0.65890455,130.8139534883721,0.19127001,-21.892878,1822.9904542881818,0.10534273,1.0030301,-172.48425,166.82863,0.1403833,33.744442,-0.12539977,21.335283,-1.0940831,12.012083,5.4002404,4.844068,1.7055601,-1.1258309,2.1952455
04 - Epic Cinematic Dramatic Background Music NO COPYRIGHT ｜ Royalty Free Dramatic Music For Videos • EMW.mp3,Neutral / Mixed,0.36,0.12198304151728692,0.4285676761813786,0.53530484,81.52173913043478,0.15489475,-23.482716,1554.2179168590824,0.0813273,0.82912654,-186.67894,181.99512,-11.406882,33.58291,1.2878908,16.20859,-3.817891,5.2198315,1.5891763,2.5670285,0.65342027,-6.2078123,-0.15809183
26 - Epic Cinematic Background Music NO COPYRIGHT ｜ FREE Epic Background Music For Videos • EMW.mp3,Neutral / Mixed,0.65,0.5664348484404891,0.72727907,0.6539199,208.33333333333334,0.18996127,-21.218008,1430.087878166847,0.10264566,0.9329438,-174.01476,174.35582,-25.543262,32.872578,14.927651,8.274843,8.718068,5.5827622,10.864425,6.7855973,8.29325,6.7382774,5.370394
abc4.mp3,Neutral / Mixed,0.5,0.6440925409843773,0.4466470956802368,0.42324355,129.19921875,0.12786317,-24.944569,1068.3964238865672,0.058602884,0.8582408,-256.72595,180.44391,12.273742,20.031433,17.749506,11.944549,-4.6811795,-2.7848656,-3.250427,-3.011195,-2.5130193,-4.5619087,-6.2514863
20 - COPYRIGHT FREE Science Fiction Music ｜ Cinematic Ambient Royalty Free Music Background Music ｜ EMW.mp3,Sad / Calm,0.3,0.10785544,0.36681496481741627,0.4157575,90.7258064516129,0.13079342,-25.74576,420.8772328347283,0.056857824,0.6798749,-362.6023,215.74307,59.77011,15.524136,18.569798,14.358424,6.3369317,2.879866,5.968185,5.6069975,2.30207,-0.60785604,-2.7522457
18 - Calm Cinematic Background Music No Copyright ｜ Cinematic Ambient Royalty Free Music Background Music.mp3,Peaceful / Positive,0.38,0.7618945333576697,0.19014428703090813,0.18705562,71.20253164556962,0.040900324,-36.320477,1651.745449009634,0.028149197,0.8610204,-363.27765,166.34306,11.340626,33.556225,-6.770333,2.1215155,-8.105366,-1.647179,-0.12691517,-11.638552,-6.90441,-9.359143,-4.5969853
19 - Free Dramatic Background Music No Copyright ｜｜ Royalty Free Dramatic Background Music ｜｜ EMW.mp3,Peaceful / Positive,0.49,0.7118853913366936,0.3974147780375047,0.34629512,127.8409090909091,0.09638881,-28.392315,1692.6945857884475,0.049322832,0.9419649,-204.67818,179.35175,-28.357933,25.974382,-3.7733698,14.95979,-3.9098306,5.55482,2.6634161,0.16896768,3.3236995,-2.5520716,3.671558
06 - The Forbidden Street-Epic cinematic suspense and mysterious music ｜ No Copyright Dark music.mp3,Neutral / Mixed,0.63,0.5741678847019764,0.5679021183182211,0.7537807,82.72058823529412,0.24896958,-21.496769,1538.3503858276697,0.1050992,0.97078526,-167.45718,179.077,-11.210567,26.808113,5.5863333,14.023162,1.8070073,6.4756002,-0.23646523,2.1792922,2.047431,-0.12015658,1.2610675
25 - FREE Background Music For Documentary Videos ｜ Royalty free Cinematic Background Music • EMW.mp3,Neutral / Mixed,0.59,0.6224544645960534,0.5205832259995596,0.62770724,100.44642857142857,0.21081577,-20.935827,1511.46632657604,0.07991725,0.9148969,-160.19144,196.2217,-20.740137,24.003017,-0.0017865081,8.910477,-10.952739,-2.4596903,0.4814532,-2.6627538,1.5658431,0.56166387,3.474258
05 - Cinematic⧸Inspiring⧸Epic Music [No Copyright] • EMW.mp3,Peaceful / Positive,0.43,0.6756247915239969,0.3152636196078925,0.31153664,96.98275862068965,0.09040217,-27.67363,958.4138317670171,0.042847622,0.80808806,-292.51553,189.02629,25.348269,28.329006,2.8786254,-3.1575365,-0.35669705,-2.4431815,3.2407594,3.0795758,4.6972933,1.035487,-3.6648438
09 - Journey to an unknown destiny - epic cinematic music (No Copyright) • EMW.mp3,Sad / Calm,0.3,0.15619026714614337,0.3970743788140161,0.33242828,133.92857142857142,0.09315732,-29.814629,914.4419363808462,0.049365096,0.72677004,-288.69278,211.98032,-6.595761,2.8649993,20.627422,3.4989614,0.22949176,-2.8956559,-4.14733,-4.5137644,-2.3679974,-3.2746017,-3.0685906
asdf.mp3,Neutral / Mixed,0.54,0.5542645440494902,0.5131796479225159,0.5517302,117.1875,0.124915645,-29.136026,1259.703616692863,0.10555045,1.0884358,-298.10135,153.43921,34.860546,20.734802,4.6570725,2.9425523,-3.2835257,-3.395932,-5.2990146,-0.49410155,0.81641805,-1.975452,-1.9979748
